Price,Returns,Volatility,Momentum,Intraday_Range,Regime,gamma_0,gamma_1,gamma_2
2008-02-19,-0.0008966759003646,0.2102506671018818,0.1389711765924792,0.0164815462758138,1,3.76856310553e-09,0.9999908404844273,9.155747816848514e-06
2008-02-20,0.0083062779882611,0.2104466114296974,0.3114117444066788,0.0199700826631133,1,5.468025385170929e-10,0.9999789168290317,2.108262571752544e-05
2008-02-21,-0.012950864527483,0.2118718800321315,0.2897660587288233,0.0213030434789724,1,3.573533836239522e-11,0.9999624703580923,3.7529605525351316e-05
2008-02-22,0.0078497205291126,0.2006861904288264,0.1293763491032656,0.0201461891943265,1,2.2436459686339747e-09,0.9999854932900183,1.4504465107682486e-05
2008-02-25,0.0137181458061125,0.2032899185721788,0.1738448396860627,0.0206516657284628,1,2.9281011605393164e-10,0.999974574169217,2.542553952737175e-05
2008-02-26,0.0068940917430715,0.1949048625165733,0.4485648087021185,0.0174112069715173,1,4.084737698600564e-08,0.9999882844708341,1.1674681165177523e-05
2008-02-27,-0.0009198674497638,0.1865631080621014,0.2287728343791776,0.0118403831749213,1,1.0059223151012633e-06,0.9999942692757529,4.7248023022733995e-06
2008-02-28,-0.0089820929904342,0.1885628138399284,0.0472971521743594,0.0109674773418683,1,1.9391430576501744e-07,0.9999829971301869,1.680895418764961e-05
2008-02-29,-0.02746339501937,0.2111171739896958,-0.2249590435518851,0.029046318061311,1,9.233895309384733e-17,0.999487692131746,0.0005123078689718931
2008-03-03,0.0005334101903081,0.2014209736836774,-0.4181559528256783,0.0113344196131111,1,2.094455937627829e-09,0.9999808234262403,1.9174479106263387e-05
2008-03-04,-0.0034535854252285,0.1950826546369299,-0.6055576079369892,0.017817987298615,1,3.773490525983748e-10,0.9999923277540443,7.67186838393913e-06
2008-03-05,0.005224655309318,0.1944527699207873,-0.4166458639917783,0.0179725362380522,1,1.118752589752647e-09,0.9999901967210774,9.802160179067474e-06
2008-03-06,-0.0222598585247644,0.1763394157326462,-0.2935424853048216,0.0220647285069291,1,1.2035409825700864e-10,0.9998577752825838,0.0001422245988154571
2008-03-07,-0.0084459282050164,0.1767280500576656,-0.3030594310941635,0.0238214406084516,1,1.9661451627939264e-09,0.998627957955778,0.0013720400787775263
2008-03-10,-0.0155842857926626,0.1802098302400447,-0.5843289722811709,0.0175518314956688,1,9.718303239180792e-09,0.9686848915631834,0.031315098718056496
2008-03-11,0.0364571326133297,0.2244614955558551,-0.0962924182598844,0.0350206331314156,2,1.3906927813314216e-26,0.015746860129957463,0.9842531398703327
2008-03-12,-0.0090362783594618,0.2251677000555067,-0.27518847905579,0.019407553684,2,2.1958743435589655e-13,0.034192228501490236,0.9658077714965375
2008-03-13,0.0051138234240504,0.2242953259947677,-0.3006981265357288,0.030080327292609,2,1.4530357986377756e-16,0.025384622866146754,0.9746153771353218
2008-03-14,-0.0210022743914945,0.2276247709834478,-0.7148737156945496,0.0361839433769033,2,2.3378036491280083e-23,0.011859212791266173,0.988140787210237
